aX,aY,aZ,gX,gY,gZ
-0.042,1.017,1.893,82.031,-2.869,-23.621
-0.092,1.091,2.029,108.704,11.169,-27.527
-0.142,1.112,2.063,137.024,17.578,-24.414
-0.174,1.087,2.037,158.081,14.587,-16.052
-0.193,1.049,1.997,176.331,3.113,-3.357
-0.217,1.014,1.979,187.622,-10.986,10.498
-0.243,1.001,1.938,199.890,-21.362,27.954
-0.234,0.957,1.871,213.623,-33.508,47.791
-0.199,0.890,1.846,223.083,-49.866,65.002
-0.178,0.856,1.800,242.737,-64.026,80.139
-0.160,0.771,1.671,275.208,-75.806,96.375
-0.159,0.634,1.497,293.701,-85.693,110.474
-0.196,0.519,1.266,309.326,-101.257,128.418
-0.231,0.367,0.995,321.045,-134.277,153.198
-0.224,0.202,0.726,323.608,-179.260,179.077
-0.192,0.063,0.472,327.087,-209.839,186.462
-0.152,-0.057,0.267,326.233,-206.116,170.105
-0.114,-0.120,0.118,322.510,-173.279,140.869
-0.062,-0.169,-0.013,327.271,-123.840,104.065
0.019,-0.257,-0.169,328.369,-71.289,62.927
0.070,-0.341,-0.360,314.697,-32.349,29.846
0.060,-0.380,-0.592,290.283,-23.071,18.738
0.023,-0.437,-0.830,260.193,-37.964,28.748
0.017,-0.536,-1.024,229.187,-58.411,50.049
0.056,-0.605,-1.196,204.163,-77.637,74.097
0.108,-0.652,-1.371,181.091,-91.736,91.003
0.151,-0.694,-1.536,156.799,-96.558,98.572
0.186,-0.662,-1.657,125.671,-94.543,97.839
0.220,-0.542,-1.680,88.562,-84.717,88.196
0.249,-0.372,-1.584,53.223,-61.707,70.251
0.274,-0.160,-1.400,23.193,-33.447,49.316
0.298,0.069,-1.157,-0.244,-10.254,29.968
0.323,0.303,-0.886,-15.076,7.141,16.846
0.352,0.529,-0.633,-22.766,16.846,9.644
0.386,0.717,-0.435,-25.940,19.592,8.362
0.432,0.856,-0.301,-27.954,16.357,11.108
0.491,0.940,-0.212,-26.550,10.010,17.212
0.575,0.974,-0.166,-22.400,1.282,22.766
0.663,0.974,-0.157,-16.052,-6.042,22.278
0.711,0.939,-0.189,-5.615,-6.653,15.381
0.726,0.875,-0.261,3.967,-3.906,7.385
0.727,0.794,-0.347,10.376,-1.465,-1.709
0.703,0.716,-0.424,13.611,-0.916,-9.644
0.658,0.650,-0.496,13.733,-4.089,-14.526
0.607,0.590,-0.561,11.902,-7.446,-17.395
0.552,0.555,-0.596,8.545,-10.193,-18.433
0.492,0.553,-0.604,3.418,-14.893,-16.479
0.434,0.564,-0.604,-2.380,-20.752,-12.451
0.385,0.569,-0.601,-7.751,-24.658,-8.850
0.340,0.564,-0.607,-11.230,-24.231,-7.202
0.303,0.548,-0.630,-14.282,-20.325,-6.165
0.293,0.525,-0.663,-18.677,-14.099,-5.737
0.301,0.503,-0.685,-24.353,-5.798,-7.874
0.298,0.490,-0.684,-28.992,2.625,-11.658
0.277,0.486,-0.684,-33.447,9.460,-13.855
0.246,0.474,-0.700,-40.833,12.329,-13.062
0.220,0.455,-0.710,-50.903,10.864,-9.338
0.199,0.443,-0.700,-60.974,7.629,-5.554
0.178,0.427,-0.686,-69.336,6.836,-2.441
0.169,0.404,-0.682,-77.087,9.521,-0.488
0.167,0.397,-0.665,-85.999,12.207,1.648
0.171,0.399,-0.627,-94.482,14.893,3.845
0.185,0.387,-0.591,-100.769,20.081,5.615
0.207,0.365,-0.572,-105.164,27.893,5.310
0.227,0.328,-0.568,-109.253,39.429,1.160
0.256,0.270,-0.580,-115.295,52.002,-6.470
0.290,0.224,-0.592,-127.686,60.486,-17.456
0.294,0.227,-0.548,-147.949,63.477,-27.893
0.284,0.263,-0.439,-165.161,64.819,-32.410
0.299,0.311,-0.305,-175.598,67.383,-36.377
0.315,0.370,-0.172,-180.237,69.458,-42.358
0.339,0.413,-0.079,-179.504,73.792,-46.387
0.380,0.442,-0.030,-182.007,78.857,-53.589
0.399,0.467,0.017,-187.622,82.581,-64.575
0.417,0.457,0.060,-194.458,89.966,-77.637
0.405,0.455,0.084,-202.515,92.957,-93.079
0.335,0.487,0.141,-210.083,85.022,-104.309
0.249,0.536,0.250,-211.609,77.637,-101.318
0.182,0.597,0.354,-202.942,70.129,-85.999
0.164,0.623,0.416,-187.195,60.425,-62.927
0.178,0.624,0.450,-172.241,44.250,-41.260
0.186,0.602,0.460,-162.292,28.870,-23.926
0.200,0.557,0.443,-159.485,16.602,-9.277
0.214,0.544,0.450,-169.006,9.216,-3.052
0.190,0.592,0.512,-179.504,15.808,-1.221
0.191,0.621,0.597,-176.086,43.457,-3.845
0.257,0.602,0.664,-169.556,83.557,-19.592
0.318,0.573,0.709,-167.786,122.559,-45.959
0.385,0.522,0.777,-173.218,139.954,-78.552
0.360,0.542,0.877,-186.768,123.047,-106.506
0.208,0.636,0.978,-191.772,105.164,-109.253
0.089,0.741,1.110,-190.430,97.839,-96.069
0.058,0.818,1.284,-174.255,97.107,-85.022
0.093,0.822,1.414,-146.057,99.487,-80.566
0.102,0.814,1.461,-127.075,90.393,-82.764
0.067,0.788,1.484,-116.150,69.702,-81.421
-0.003,0.802,1.533,-118.652,41.260,-76.050
-0.111,0.905,1.614,-120.483,21.851,-63.110
-0.172,0.999,1.676,-109.009,19.775,-45.715
-0.169,1.051,1.697,-88.135,21.912,-32.532
-0.166,1.064,1.681,-59.631,18.311,-21.851
-0.179,1.029,1.573,-28.748,6.775,-2.747
-0.163,0.940,1.399,-11.230,-13.733,19.897
-0.124,0.852,1.243,-8.911,-34.790,34.973
-0.089,0.812,1.136,-12.329,-44.922,41.260
-0.045,0.799,1.085,-15.747,-38.879,38.513
-0.003,0.795,1.073,-15.747,-20.386,24.902
0.018,0.789,1.051,-9.521,-0.183,9.155
0.016,0.778,0.993,-3.357,11.353,0.793
0.010,0.763,0.932,-1.404,11.658,1.221
0.014,0.744,0.896,-0.854,6.653,6.042
0.022,0.729,0.870,0.916,2.686,11.841
0.048,0.706,0.838,2.930,0.549,16.541
0.097,0.669,0.811,2.686,-2.747,17.334
0.132,0.643,0.795,-0.244,-6.714,14.160
0.133,0.641,0.786,-2.075,-8.240,11.902
0.131,0.643,0.779,-2.380,-8.301,12.268
0.142,0.638,0.777,-1.892,-9.827,13.672
0.155,0.632,0.783,0.122,-10.864,13.245

0.089,1.047,1.566,70.190,4.578,-15.198
0.065,1.090,1.630,84.717,10.925,-21.240
0.042,1.125,1.700,101.685,16.479,-25.757
0.019,1.165,1.782,116.211,21.362,-31.250
-0.022,1.215,1.844,135.498,25.818,-33.691
-0.061,1.238,1.833,158.203,24.475,-28.442
-0.089,1.225,1.783,172.058,18.127,-19.409
-0.125,1.211,1.729,183.533,11.292,-8.667
-0.143,1.166,1.650,198.486,4.395,6.409
-0.127,1.090,1.552,207.825,-7.568,21.606
-0.113,1.009,1.483,216.736,-22.583,35.095
-0.127,0.945,1.457,225.708,-35.217,47.058
-0.175,0.891,1.426,242.432,-49.011,64.270
-0.205,0.795,1.338,263.550,-69.458,92.529
-0.194,0.669,1.214,278.137,-95.337,121.033
-0.204,0.544,1.095,291.748,-116.028,144.836
-0.185,0.420,1.001,305.359,-130.554,167.664
-0.097,0.323,0.910,314.026,-137.817,174.438
-0.028,0.233,0.774,321.716,-133.362,159.180
-0.009,0.130,0.621,323.425,-122.131,134.583
-0.024,0.032,0.451,326.355,-105.774,113.098
-0.041,-0.109,0.222,325.623,-85.022,91.003
-0.036,-0.256,-0.001,310.242,-71.716,72.998
-0.040,-0.370,-0.166,298.950,-65.002,60.547
-0.052,-0.516,-0.379,296.692,-52.795,52.185
-0.055,-0.720,-0.721,288.086,-43.762,50.354
-0.040,-0.907,-1.124,265.503,-47.729,61.401
-0.004,-1.013,-1.474,229.614,-62.805,77.454
0.048,-1.058,-1.708,188.354,-72.510,85.449
0.109,-1.012,-1.829,144.409,-71.777,82.275
0.173,-0.857,-1.819,99.731,-66.101,73.181
0.243,-0.623,-1.664,61.035,-51.636,56.274
0.299,-0.327,-1.412,28.015,-34.424,35.889
0.320,0.007,-1.106,1.526,-24.170,20.996
0.314,0.344,-0.780,-14.343,-22.339,15.625
0.318,0.648,-0.478,-18.372,-22.644,15.930
0.323,0.876,-0.269,-13.794,-20.264,15.991
0.320,1.013,-0.181,-5.249,-14.526,16.174
0.335,1.058,-0.174,2.014,-11.353,17.456
0.366,1.028,-0.227,8.484,-12.451,19.409
0.415,0.948,-0.322,12.573,-16.235,22.034
0.459,0.840,-0.429,16.479,-21.118,22.766
0.476,0.736,-0.534,19.531,-24.109,21.301
0.478,0.664,-0.617,20.325,-25.146,16.907
0.460,0.620,-0.664,20.325,-23.193,8.423
0.412,0.596,-0.695,19.348,-16.663,-2.319
0.339,0.584,-0.710,14.282,-10.742,-9.155
0.260,0.581,-0.680,7.568,-10.925,-6.958
0.221,0.583,-0.637,2.686,-14.648,2.380
0.229,0.585,-0.613,0.244,-16.785,11.292
0.257,0.593,-0.606,-1.221,-13.428,14.465
0.290,0.599,-0.615,-2.014,-6.836,13.306
0.330,0.591,-0.634,-3.418,-1.160,11.597
0.382,0.578,-0.642,-5.554,3.418,7.507
0.414,0.553,-0.652,-6.165,10.010,0.061
0.425,0.509,-0.682,-7.996,18.005,-8.789
0.418,0.459,-0.721,-12.390,23.132,-16.113
0.389,0.413,-0.765,-19.775,24.841,-20.447
0.348,0.374,-0.796,-30.396,23.010,-19.958
0.297,0.352,-0.793,-42.603,17.517,-15.259
0.229,0.369,-0.749,-53.955,5.981,-4.089
0.167,0.389,-0.697,-60.547,-5.310,11.841
0.128,0.383,-0.688,-64.697,-11.475,26.001
0.091,0.354,-0.710,-70.984,-12.695,35.461
0.037,0.286,-0.750,-76.599,-9.033,40.955
0.001,0.200,-0.820,-84.045,-2.075,44.922
0.017,0.113,-0.877,-97.473,8.240,44.434
0.079,0.016,-0.904,-113.403,23.132,36.194
0.155,-0.047,-0.909,-131.653,40.894,20.203
0.201,-0.028,-0.825,-152.832,56.641,2.502
0.228,0.029,-0.651,-164.490,64.453,-8.301
0.252,0.086,-0.524,-170.349,65.918,-5.981
0.288,0.149,-0.452,-177.856,59.387,2.502
0.351,0.191,-0.371,-185.120,59.937,6.042
0.431,0.184,-0.321,-191.223,70.313,-2.075
0.522,0.145,-0.325,-203.979,80.444,-20.691
0.566,0.137,-0.323,-227.356,90.820,-46.387
0.539,0.154,-0.270,-253.052,104.980,-74.097
0.467,0.176,-0.179,-274.170,121.155,-96.497
0.341,0.260,0.017,-283.264,127.686,-108.459
0.208,0.353,0.289,-261.292,124.329,-102.966
0.122,0.439,0.423,-226.929,110.535,-71.716
0.129,0.462,0.458,-200.806,85.388,-37.537
0.236,0.371,0.452,-190.674,71.899,-23.621
0.293,0.335,0.378,-200.623,64.148,-36.255
0.262,0.354,0.353,-228.943,77.332,-55.847
0.263,0.351,0.433,-257.751,108.093,-80.872
0.258,0.425,0.684,-289.429,127.930,-114.502
0.174,0.594,1.105,-291.077,128.784,-131.958
0.080,0.771,1.419,-254.700,124.939,-120.300
0.059,0.876,1.537,-216.309,109.070,-101.074
0.061,0.907,1.613,-193.176,89.478,-91.003
0.029,0.942,1.651,-170.105,73.853,-81.116
0.003,0.956,1.625,-151.001,69.519,-74.036
-0.010,0.939,1.575,-139.832,73.914,-74.768
-0.019,0.918,1.524,-132.141,80.139,-79.346
-0.035,0.917,1.511,-129.639,82.764,-86.304
-0.089,0.944,1.558,-123.596,73.730,-87.463
-0.159,0.981,1.586,-109.619,50.232,-71.289
-0.214,1.014,1.582,-96.924,18.555,-41.565
-0.228,1.031,1.594,-80.261,-8.850,-10.803
-0.185,1.009,1.574,-58.716,-27.771,13.733
-0.123,0.965,1.519,-44.800,-38.147,27.405
-0.081,0.944,1.474,-35.767,-36.865,31.311
-0.036,0.924,1.418,-23.682,-27.710,29.968
0.001,0.899,1.342,-13.916,-14.709,21.973
0.001,0.885,1.252,-5.432,-0.061,12.390
-0.018,0.865,1.143,2.930,7.812,10.559
-0.006,0.826,1.040,7.324,4.822,16.602
0.035,0.795,0.985,6.531,-4.150,21.667
0.061,0.782,0.961,7.568,-9.705,23.193
0.063,0.771,0.917,11.719,-10.376,25.085
0.062,0.750,0.856,14.954,-12.146,29.663
0.085,0.719,0.801,18.921,-15.076,34.668
0.131,0.686,0.746,21.240,-15.076,33.997
0.164,0.656,0.688,19.714,-12.085,26.917
0.169,0.640,0.640,15.991,-7.141,20.203
0.165,0.630,0.613,11.414,-4.578,17.700
0.164,0.617,0.606,7.263,-6.653,19.348

0.044,1.153,1.442,106.018,17.883,-4.333
0.016,1.215,1.504,117.371,10.437,-3.479
-0.015,1.268,1.555,129.456,5.615,-2.502
-0.046,1.305,1.599,144.348,6.531,-1.526
-0.065,1.325,1.611,161.560,11.597,-0.488
-0.079,1.324,1.587,175.720,12.024,2.747
-0.102,1.315,1.564,188.293,5.188,11.597
-0.115,1.300,1.557,201.965,-4.578,24.292
-0.120,1.277,1.566,212.402,-15.930,36.316
-0.147,1.253,1.558,225.525,-30.334,51.392
-0.180,1.207,1.504,240.601,-50.171,74.219
-0.195,1.118,1.402,257.629,-73.059,100.159
-0.183,0.985,1.259,276.367,-88.806,118.774
-0.156,0.825,1.096,290.649,-92.590,125.366
-0.139,0.662,0.912,300.110,-90.210,124.512
-0.119,0.484,0.716,304.810,-86.975,123.474
-0.087,0.332,0.550,299.072,-86.060,120.605
-0.070,0.236,0.454,291.443,-86.548,115.906
-0.076,0.174,0.398,286.987,-86.609,112.366
-0.093,0.106,0.335,286.682,-88.379,116.211
-0.067,0.037,0.274,281.860,-95.886,126.465
0.006,-0.019,0.215,278.748,-105.286,129.822
0.077,-0.113,0.085,278.015,-104.309,120.483
0.111,-0.228,-0.143,270.386,-100.342,112.244
0.145,-0.362,-0.387,256.226,-98.755,106.079
0.206,-0.515,-0.596,239.075,-89.722,90.393
0.224,-0.606,-0.768,219.360,-74.280,67.932
0.198,-0.648,-0.925,205.078,-59.937,50.354
0.166,-0.710,-1.100,188.049,-48.950,40.283
0.120,-0.742,-1.291,164.978,-47.974,42.603
0.092,-0.713,-1.427,135.193,-55.298,55.054
0.130,-0.632,-1.458,104.736,-58.899,65.063
0.190,-0.477,-1.419,74.341,-57.373,64.209
0.223,-0.264,-1.329,46.143,-50.781,55.664
0.243,-0.038,-1.182,22.705,-39.307,42.419
0.248,0.175,-1.005,6.897,-26.550,26.978
0.244,0.368,-0.846,-3.479,-17.944,17.822
0.248,0.535,-0.719,-8.240,-15.198,17.212
0.264,0.653,-0.630,-9.277,-16.846,21.484
0.301,0.718,-0.576,-9.460,-21.423,27.893
0.367,0.750,-0.536,-7.141,-24.231,28.687
0.424,0.758,-0.519,-1.587,-19.775,20.081
0.456,0.746,-0.528,2.869,-14.404,10.742
0.468,0.719,-0.546,6.470,-13.306,3.906
0.464,0.679,-0.578,8.667,-13.855,1.648
0.457,0.630,-0.611,9.766,-16.541,1.648
0.437,0.579,-0.647,10.681,-18.860,2.380
0.421,0.531,-0.689,11.047,-18.738,2.380
0.415,0.494,-0.719,10.132,-16.235,-0.122
0.407,0.466,-0.742,8.606,-12.024,-4.944
0.404,0.442,-0.762,5.676,-7.568,-10.132
0.393,0.437,-0.763,1.343,-5.188,-14.648
0.353,0.446,-0.761,-3.174,-5.005,-16.235
0.298,0.452,-0.759,-8.362,-6.226,-13.428
0.249,0.450,-0.749,-12.207,-6.958,-9.094
0.201,0.423,-0.765,-15.198,-6.287,-4.822
0.157,0.373,-0.815,-20.874,-3.906,-1.160
0.132,0.316,-0.859,-30.212,-0.977,1.038
0.129,0.264,-0.874,-40.527,4.211,1.221
0.131,0.230,-0.873,-50.049,10.437,0.488
0.127,0.206,-0.877,-58.838,16.907,-0.732
0.126,0.188,-0.878,-68.665,23.560,-3.235
0.109,0.180,-0.861,-78.552,30.334,-7.019
0.062,0.166,-0.846,-88.135,35.583,-8.240
0.008,0.130,-0.854,-98.694,38.513,-4.639
-0.031,0.073,-0.863,-112.183,39.551,2.258
-0.050,0.019,-0.832,-124.634,41.199,10.071
-0.038,-0.021,-0.788,-135.193,44.250,16.235
0.025,-0.046,-0.743,-149.536,48.706,18.311
0.124,-0.048,-0.663,-167.542,56.641,13.245
0.204,-0.027,-0.556,-182.800,67.566,0.305
0.234,0.016,-0.442,-193.909,78.308,-13.184
0.226,0.063,-0.356,-200.256,89.478,-20.081
0.226,0.083,-0.311,-205.872,96.252,-19.775
0.252,0.082,-0.267,-213.989,97.473,-19.958
0.271,0.098,-0.193,-225.037,90.149,-20.691
0.264,0.158,-0.108,-236.633,78.186,-13.977
0.266,0.235,-0.029,-247.070,72.693,-4.822
0.270,0.307,0.068,-252.502,78.369,-3.784
0.250,0.356,0.141,-247.498,96.008,-8.667
0.215,0.387,0.176,-239.868,117.249,-14.282
0.179,0.391,0.229,-227.722,137.878,-19.104
0.294,0.238,0.262,-217.102,153.992,-27.405
0.442,0.168,0.256,-238.037,132.935,-48.523
0.412,0.272,0.367,-274.536,107.666,-65.063
0.339,0.396,0.593,-294.739,105.469,-69.275
0.271,0.546,0.836,-293.823,103.149,-68.054
0.210,0.647,1.007,-266.785,108.093,-54.565
0.246,0.704,1.097,-238.953,114.502,-39.246
0.333,0.765,1.296,-221.802,121.704,-39.429
0.425,0.815,1.526,-194.153,132.019,-52.002
0.494,0.831,1.592,-178.345,126.709,-71.472
0.417,0.889,1.579,-185.059,103.760,-82.764
0.277,0.973,1.574,-184.509,88.135,-75.256
0.229,1.045,1.595,-179.810,80.322,-65.430
0.215,1.133,1.708,-166.809,73.364,-61.584
0.183,1.198,1.763,-132.751,69.275,-51.208
0.193,1.165,1.702,-105.347,60.303,-37.354
0.203,1.131,1.702,-96.680,44.739,-33.203
0.144,1.178,1.729,-81.421,32.349,-28.870
0.095,1.204,1.669,-62.134,21.545,-14.404
0.096,1.192,1.581,-47.852,8.484,1.160
0.103,1.177,1.506,-32.593,0.610,10.986
0.113,1.130,1.385,-16.235,-3.052,20.203
0.162,1.044,1.239,-7.202,-10.803,28.931
0.235,0.971,1.140,-4.578,-18.494,28.076
0.268,0.943,1.081,-2.075,-16.602,19.165
0.266,0.921,1.017,3.174,-9.338,11.841
0.259,0.883,0.944,8.545,-6.592,9.766
0.255,0.849,0.878,12.817,-10.620,12.146
0.266,0.810,0.830,17.517,-15.198,13.550
0.276,0.764,0.783,19.775,-14.587,9.766
0.264,0.731,0.736,19.409,-11.047,4.883
0.240,0.704,0.709,18.677,-8.179,3.174
0.223,0.683,0.693,18.738,-8.362,5.432
0.221,0.666,0.682,18.921,-11.597,10.681
0.243,0.642,0.681,19.287,-16.296,14.465
0.262,0.620,0.685,17.517,-18.433,12.695
0.252,0.613,0.690,16.052,-15.198,8.606

0.140,1.134,1.521,89.722,-7.019,1.587
0.140,1.191,1.579,105.469,0.793,-3.479
0.140,1.242,1.616,120.361,4.944,-7.141
0.131,1.287,1.661,135.803,6.226,-9.766
0.110,1.332,1.697,154.541,7.690,-10.071
0.082,1.355,1.690,174.988,6.592,-5.737
0.064,1.343,1.640,193.420,-0.122,4.456
0.055,1.310,1.563,211.182,-11.536,19.714
0.073,1.261,1.487,226.440,-23.682,35.156
0.113,1.206,1.426,237.488,-35.583,45.593
0.151,1.137,1.368,250.854,-43.701,50.232
0.156,1.076,1.306,262.024,-47.607,50.293
0.125,1.001,1.240,278.442,-50.842,54.871
0.100,0.900,1.174,299.072,-55.664,66.589
0.081,0.785,1.095,319.763,-63.110,79.529
0.064,0.630,0.957,337.891,-75.806,94.788
0.037,0.461,0.764,343.262,-92.590,109.985
-0.000,0.296,0.565,338.013,-106.201,123.779
-0.003,0.132,0.370,325.439,-117.676,134.460
0.062,-0.032,0.206,312.866,-124.329,133.789
0.144,-0.169,0.078,300.659,-116.333,112.732
0.176,-0.280,-0.057,292.114,-95.154,79.163
0.145,-0.401,-0.222,281.677,-71.228,46.021
0.054,-0.511,-0.413,265.930,-58.594,28.870
-0.038,-0.576,-0.592,246.277,-59.509,31.921
-0.101,-0.578,-0.718,218.323,-74.097,49.316
-0.132,-0.536,-0.823,194.092,-93.689,75.195
-0.097,-0.501,-0.931,169.312,-105.530,92.651
-0.021,-0.471,-1.005,147.583,-99.792,88.074
0.021,-0.411,-1.057,128.723,-78.369,67.566
0.020,-0.321,-1.097,109.070,-56.335,48.035
0.015,-0.212,-1.098,88.989,-38.574,34.180
-0.001,-0.101,-1.076,71.228,-27.039,26.489
-0.023,0.009,-1.063,53.833,-23.010,30.579
-0.014,0.131,-1.020,33.691,-29.053,44.617
0.048,0.259,-0.920,19.836,-33.875,56.763
0.130,0.361,-0.828,13.977,-27.466,54.321
0.194,0.427,-0.786,11.414,-12.390,42.480
0.231,0.477,-0.767,7.690,1.099,29.236
0.265,0.516,-0.755,2.258,8.423,21.729
0.317,0.544,-0.738,-5.005,9.033,19.043
0.376,0.559,-0.698,-9.155,7.996,16.724
0.438,0.564,-0.661,-7.507,9.399,13.611
0.492,0.566,-0.650,-4.395,9.583,9.521
0.528,0.570,-0.657,-3.052,8.179,6.775
0.549,0.586,-0.652,-2.441,5.493,4.333
0.554,0.609,-0.638,-1.282,2.991,1.892
0.545,0.617,-0.640,-0.183,-0.305,-0.671
0.534,0.613,-0.653,-0.244,-2.747,-4.395
0.517,0.604,-0.657,-0.732,-3.296,-9.521
0.479,0.592,-0.659,-1.221,-3.418,-13.489
0.421,0.574,-0.671,-1.526,-5.493,-13.550
0.366,0.554,-0.691,-2.625,-9.216,-9.949
0.326,0.540,-0.709,-4.211,-12.268,-5.981
0.301,0.531,-0.720,-6.042,-12.329,-4.517
0.281,0.528,-0.722,-8.057,-9.521,-5.798
0.259,0.513,-0.723,-8.789,-4.578,-8.484
0.238,0.491,-0.748,-11.230,-1.160,-9.460
0.221,0.460,-0.782,-17.761,-1.221,-6.226
0.222,0.424,-0.796,-26.794,-2.686,-1.831
0.240,0.402,-0.791,-34.973,-1.587,-0.549
0.249,0.382,-0.776,-41.016,2.197,-3.540
0.245,0.362,-0.782,-45.288,9.399,-9.338
0.252,0.348,-0.792,-51.392,18.311,-17.700
0.255,0.331,-0.782,-56.580,27.466,-28.442
0.248,0.305,-0.792,-61.462,38.086,-39.795
0.242,0.272,-0.813,-70.679,46.143,-49.561
0.219,0.242,-0.812,-81.848,51.392,-56.946
0.153,0.215,-0.810,-95.520,49.866,-57.007
0.071,0.185,-0.818,-110.229,42.480,-47.119
0.011,0.165,-0.783,-125.305,32.593,-33.325
-0.035,0.139,-0.729,-132.996,26.062,-18.860
-0.060,0.079,-0.748,-142.456,22.095,-2.014
-0.057,0.008,-0.768,-158.691,16.357,16.174
0.018,-0.046,-0.716,-172.363,19.287,23.987
0.154,-0.044,-0.614,-185.547,35.095,8.301
